type,text
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
spam,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
spam,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity 
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
spam,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
spam,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline
spam,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16"
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ "
spam,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
spam,URGENT! This is the 2nd attempt to contact U!U have WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7. 50
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18
ham,MMM ... Merry Christmas to me
ham,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.
ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!"
ham,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
spam,"Your free ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...& Traditions.... Have an ideal Christmas..."
ham,May i call You later Pls
ham,Oh. U must have taken your REAL Valentine out shopping first.
ham,2marrow only. Wed at  #  to 2 aha.
ham,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
ham,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night
ham,Well then you have a great weekend!
spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?"
ham,I'm working technical support :)voice process.networking field.
ham,i am seeking a lady in the street and a freak in the sheets. Is that you?
ham,"Wat time liao, where still got."
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
ham,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
ham,My friends use to call the same.
ham,K:)k:)what are detail you want to transfer?acc no enough?
ham,"The  # g that i saw a few days ago, the guy wants sell wifi only for  #  and with 3g for  # . That's why i blanked him."
ham,I think it's all still in my car
ham,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!
spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
ham,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
ham,Yo im right by yo work
ham,In fact when do you leave? I think addie goes back to school tues or wed
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging 
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
spam,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly
ham,I.ll get there tomorrow and send it to you
ham,", ow u dey.i paid 60,400thousad.i told  u would call . "
ham,K I'll take care of it
ham,Watching tv now. I got new job :)
ham,SYMPTOMS when U are in love: 1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your
ham,Dude got a haircut. Now its breezy up there
ham,And maybe some pressies
ham,"Haha good to hear, I'm officially paid and on the market for an 8th"
ham,"Yeah, probably earlier than that"
ham,Im done. Just studyn in library
ham,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
ham,I'll probably be around mu a lot
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
ham,Wait  #  min..
ham,Sweet heart how are you?
ham,In the end she might still vomit but its okay. Not everything will come out.
ham,"That's very rude, you on campus?"
ham,So do you have samus shoulders yet
ham,Ok i msg u b4 i leave my house.
spam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
ham,I dont have that much image in class.
ham,"My friend just got here and says he's upping his order by a few grams (he's got $ # ), when can you get here?"
spam,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow
ham,Hi ....My engagement has been fixd on  # th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.
spam,"You can stop further club tones by replying STOP MIX See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)"
spam,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
ham,Yup i shd haf ard 10 pages if i add figures... u all got how many pages?
ham,Ok thanx...
ham,"Aight, tomorrow around  #  it is"
ham,Is toshiba portege m100 gd?
spam,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p
ham,Thats cool! I am a gentleman and will treat you with dignity and respect.
ham,Sat right? Okay thanks... 
ham,Okie... Thanx...
ham,Wife.how she knew the time of murder exactly
spam,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar"
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
ham,Yes fine 
ham,Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to DRINK. . . But don't DRIVE 
ham,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.
ham,Thankyou so much for the call. I appreciate your care.
ham,K.k..how is your sister kids?
ham,"Sorry, I'll call later"
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT & HAVE A NICE SLEEP..SWEET DREAMS..
ham,Happy new years melody!
ham,Dear good morning how you feeling dear
ham,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun
ham,"Its ok., i just askd did u knw tht no?"
ham,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM
spam,"URGENT! Your mobile No 077xxx WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm"
ham,"Well, I meant as opposed to my drunken night of before"
ham,Dont think so. It turns off like randomlly within 5min of opening
spam,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 "
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  #  to my account and  # dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
ham,Come aftr  DECIMAL ..now i m cleaning the house
ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
ham,I wonder if you'll get this text?
ham,i see. When we finish we have loads of loans to pay
ham,"Sorry pa, i dont knw who ru pa?"
ham,Neva mind it's ok..
ham,I hope you know I'm still mad at you.
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
ham,Can u get pic msgs to your phone?
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
ham,"Maybe westshore or hyde park village, the place near my house?"
ham,Remind me how to get there and I shall do so
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
ham,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
ham,Are you this much buzy
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed & Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,So that means you still think of teju
ham,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
ham,Already am squatting is the new way of walking
ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
ham,I think u have the wrong number.
ham,"Lets use it next week, princess :)"
ham,"Sorry, I'll call later"
ham,He remains a bro amongst bros
ham,No..few hours before.went to hair cut .
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite & sweet dreams
ham,I am not having her number sir
ham,"Yo my trip got postponed, you still stocked up?"
ham,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and con me. It makes me want to listen to you less."
ham,"I didnt get ur full msg..sometext is missing, send it again"
ham,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN 
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
ham,Id onluy matters when getting on from offcampus
ham,I liked your new house
ham,ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.
ham,"Fair enough, anything going on?"
ham,ALSO TELL HIM I SAID HAPPY BIRTHDAY
ham,Ill be there on  #  ok.
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  # . Good listener  # . Organizer  # . Good boyfriend  # . Very clean  # . Sympathetic  # . Athletic  # . Warm . . .  # . Courageous  # . Determined  # . True  # . Dependable  # . Intelligent . . .  # . Psychologist  # . Pest exterminator  # . Psychiatrist  # . Healer . .  # . Stylist  # . Driver . . Aaniye pudunga venaam..
ham,Still in the area of the restaurant. Ill try to come back soon
ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm 
spam,Did you hear about the new Divorce Barbie? It comes with all of Ken's stuff!
ham,How many times i told in the stage all use to laugh. You not listen aha.
ham,I havent lei.. Next mon can?
ham,Dont pick up d call when something important is There to tell. Hrishi
ham,Lol well don't do it without me. We could have a big sale together.
ham,Am only searching for good dual sim mobile pa.
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply."
ham,Si si. I think ill go make those oreo truffles.
ham,Tiwary to rcb.battle between bang and kochi.
ham,Just woke up. Yeesh its late. But I didn't fall asleep til # am :/
ham,Oh...i asked for fun. Haha...take care. u
ham,How? Izzit still raining?
spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
ham,Pls send me the correct name da.
ham,Dear got train and seat mine lower seat
ham,Why i come in between you people
ham,Can... I'm free...
ham,Oh ok no prob..
ham,Ok can...
ham,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
ham,U coming 2 pick me?
ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..
ham,Oooh bed ridden ey? What are YOU thinking of?
spam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50
ham,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola"
ham,And of course you should make a stink!
ham,"A few people are at the game, I'm at the mall with iouri and kaila"
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches
spam,WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM
ham,Is xy going 4 e lunch?
ham,I'm in school now n i'll be in da lab doing some stuff give me a call when u r done.
spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com
ham,"Fyi I'm taking a quick shower, be at epsilon in like  #  min"
ham,Nope i'm not drivin... I neva develop da photos lei...
ham,"Sorry, I'll call later"
ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
ham,Hi where you. You in home or calicut?
ham,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
ham,No message..no responce..what happend?
ham,"Great. I'm in church now, will holla when i get out"
ham,will you like to be spoiled? :)
ham,They don't put that stuff on the roads to keep it from getting slippery over there?
ham,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color
ham,Lol I was gonna last month. I cashed some in but I left # just in case. I was collecting more during the week cause they announced it on the blog.
ham,Me too baby! I promise to treat you well! I bet you will take good care of me...
ham,Thanx but my birthday is over already.
ham,About  # bucks. The banks fees are fixed. Better to call the bank and find out.
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
ham,Yes.he have good crickiting mind
ham,Are you still playing with gautham?
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,I asked sen to come chennai and search for job.
ham,Ya had just now.onion roast.
ham,Yeah I'll try to scrounge something up
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...
ham,Small problem in auction:)punj now asking tiwary
ham,Welp apparently he retired
ham,Okay same with me. Well thanks for the clarification
ham,Slept? I thinkThis time ( #  pm) is not dangerous
ham,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
ham,Jordan got voted out last nite!
spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
ham,How much you got for cleaning
ham,I will once i get home
ham,Tension ah?what machi?any problem?
ham,Lol now I'm after that hot air balloon!
ham,Play w computer? Aiyah i tok 2 u lor?
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705
ham,I'm not coming home 4 dinner.
ham,Bring it if you got it
ham,What pa tell me.. I went to bath:-)
ham,"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"
ham,"Looks like you found something to do other than smoke, great job!"
ham,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
ham,I not free today i haf 2 pick my parents up tonite...
ham,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
spam,"URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&
ham,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?"
ham,Oh yeah I forgot. U can only take 2 out shopping at once.
ham,We don call like  #  times oh. No give us hypertension oh.
ham,Going to join tomorrow.
ham,"Like  # , same question"
ham,U calling me right? Call my hand phone...
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
ham,"Sorry, I'll call later"
ham,You tell what happen dont behave like this to me. Ok no need to say
ham,I wanna watch that movie
ham,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?
ham,Gimme a few was  #  minutes ago
ham,Pls call me da. What happen.
ham,Ok then u tell me wat time u coming later lor.
ham,Just now saw your message.it k da:)
ham,U still havent got urself a jacket ah?
ham,Beerage?
ham,Are you there in room.
ham,"Thanx 4 the time we’ve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
ham,Hope you are having a great day.
spam,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,Yes i have. So that's why u texted. Pshew...missing you so much
ham,I called but no one pick up e phone. I ask both of them already they said ok.
ham,Shall i start from hear.
ham,Ok how you dear. Did you call chechi
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
ham,"That day u say u cut ur hair at paragon, is it called hair sense? Do u noe how much is a hair cut? "
ham,I want to be there so i can kiss you and feel you next to me
ham,I think if he rule tamilnadu..then its very tough for our people.
ham,"2 celebrate my b’day, y else?"
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes & fills those gaps by holding your hand with LOVE..!"
ham,"Sorry, I'll call later ok bye"
ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate "
ham,Yunny... I'm goin to be late
spam,Adult 18 Content Your video will be with you shortly
ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
ham,"Sorry, I'll call later"
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
ham,Arun can u transfr me d amt
spam,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub
ham,"Ya, told..she was asking wats matter?"
ham,Tell me something. Thats okay.
ham,You always make things bigger than they are
ham,Thinkin about someone is all good. No drugs for that
ham,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.
ham,No..but heard abt tat..
ham,I wish u were here. I feel so alone
ham,Cos daddy arranging time c wat time fetch u mah...
ham,It vl bcum more difficult..
ham,We will meet soon princess! Ttyl!
ham,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
ham,I am in office:)whats the matter..msg me now.i will call you at break:).
ham,"BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP..."
ham,"House-Maid is the murderer, coz the man was murdered on  # th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter
spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you
ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
ham,Are you willing to go for apps class.
ham,"Yeah, we got one lined up for us"
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,This pain couldn't have come at a worse time.
ham,Wat time r u going to xin's hostel?
spam,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
ham,Dunno dat's wat he told me. Ok lor...
ham,Huh? 6 also cannot? Then only how many mistakes?
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,I wanted to ask u to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
ham,Total video converter free download type this in google search:)
